,interceptor_skill_mean,interceptor_skill_sum,interceptor_skill_stdev,interceptor_actiondelay_mean,interceptor_actiondelay_sum,detector_skill_mean,detector_skill_sum,detector_skill_stdev,detector_actiondelay_mean,detector_actiondelay_sum,detector_reportdelay_mean,detector_reportdelay_sum,scout_skill_mean,scout_skill_sum,scout_skill_stdev,scout_actiondelay_mean,scout_actiondelay_sum,scout_reportdelay_mean,scout_reportdelay_sum,exploiter_skill_mean,exploiter_skill_sum,exploiter_skill_stdev,exploiter_actiondelay_mean,exploiter_actiondelay_sum,Number of Routers,Degree of Network,Num Defenders,Num Defender Scouts,Num Attackers,Num AttackerScouts,Attacker Move Chance,Vul Spawn Delay,Router Vul Chance,Router Comp Chance,Vul Detection Rate,Comp Detection Rate,Num Ticks,Mean Offline,Max Offline,Mean Vulnerable,Max Vulnerable,Mean Compromised,Max Compromised,Metric 2,Metric 3
0,0.5212858893450656,2.606429446725328,0.09823167290360044,1.0,5.0,0.4683928252639187,2.3419641263195934,0.0847695198336316,1.0,5.0,1.0,5.0,0.4282563700960451,0.8565127401920902,0.10600922632299638,1.0,2.0,1.0,2.0,0.450777578997771,3.606220631982168,0.07654905181651638,1.0,8.0,100,1,10,5,10,2,100,1,5,5,15,1,1000,41.817,100,47.907,100,0.047907,25,1,1
0,0.49821006420399605,2.4910503210199804,0.0584245094734139,1.0,5.0,0.5063864324187819,2.5319321620939097,0.06487496780931118,1.0,5.0,1.0,5.0,0.4940711889781104,0.9881423779562208,0.09905909538949874,1.0,2.0,1.0,2.0,0.4608525828064248,3.6868206624513986,0.08182329791578141,1.0,8.0,100,1,10,5,10,2,100,1,5,5,15,1,1000,42.853,100,45.288,96,0.0452879999999999,12,1,1
0,0.5038721189721765,2.5193605948608826,0.04870514442204239,1.0,5.0,0.5313761744914567,2.6568808724572834,0.044018982113381656,1.0,5.0,1.0,5.0,0.4801596917406116,0.9603193834812233,0.03304670775909548,1.0,2.0,1.0,2.0,0.5034189298094706,4.0273514384757645,0.08451122964563369,1.0,8.0,100,1,10,5,10,2,100,1,5,5,15,1,1000,50.298,100,39.027,96,0.039027,13,1,1
0,0.5245789031769569,2.6228945158847843,0.05289287532970322,1.0,5.0,0.4635644452210876,2.317822226105438,0.10583801815826305,1.0,5.0,1.0,5.0,0.5097674415846911,1.0195348831693822,0.062285561438049586,1.0,2.0,1.0,2.0,0.51068858419008,4.08550867352064,0.1026547242888448,1.0,8.0,100,1,10,5,10,2,100,1,5,5,15,1,1000,34.001,100,54.831,97,0.054831,20,1,1
0,0.47607554613950837,2.3803777306975418,0.10276298280412331,1.0,5.0,0.5052580987480949,2.5262904937404747,0.12424744621307436,1.0,5.0,1.0,5.0,0.4570970756385775,0.914194151277155,0.004607035846584626,1.0,2.0,1.0,2.0,0.5116497788805688,4.093198231044551,0.1215139600220888,1.0,8.0,100,1,10,5,10,2,100,1,5,5,15,1,1000,42.98,100,45.107,96,0.045107,17,1,1
0,0.45444722526306014,2.272236126315301,0.04364578530555076,1.0,5.0,0.46769662742257445,2.3384831371128723,0.1027231861922096,1.0,5.0,1.0,5.0,0.3986565684614988,0.7973131369229975,0.10314145569204017,1.0,2.0,1.0,2.0,0.4837058331925641,3.869646665540513,0.10741453911231957,1.0,8.0,100,1,10,5,10,2,100,1,5,5,15,11,1000,40.614,100,49.774,97,0.049774,13,1,1
0,0.4637329023555826,2.318664511777913,0.06256618534855801,1.0,5.0,0.4182535545487804,2.091267772743902,0.08477757711763487,1.0,5.0,1.0,5.0,0.43043980218884903,0.8608796043776981,0.24098549097182426,1.0,2.0,1.0,2.0,0.4600705314119085,3.680564251295268,0.16420686155299116,1.0,8.0,100,1,10,5,10,2,100,1,5,5,15,11,1000,52.77,100,35.658,97,0.035658,10,1,1
0,0.5078570391186876,2.539285195593438,0.11422006744662673,1.0,5.0,0.5883899201835375,2.9419496009176878,0.11029634854020104,1.0,5.0,1.0,5.0,0.39682325077975855,0.7936465015595171,0.1278240230839035,1.0,2.0,1.0,2.0,0.5538892239353406,4.4311137914827246,0.08034576597522707,1.0,8.0,100,1,10,5,10,2,100,1,5,5,15,11,1000,47.819,100,40.35,94,0.04035,14,1,1
0,0.5397449810174941,2.6987249050874706,0.04495349582986368,1.0,5.0,0.4942228004565593,2.4711140022827967,0.1465920783050909,1.0,5.0,1.0,5.0,0.4100926531865191,0.8201853063730382,0.01480329393084167,1.0,2.0,1.0,2.0,0.49830392157226916,3.9864313725781533,0.08072438364146245,1.0,8.0,100,1,10,5,10,2,100,1,5,5,15,11,1000,45.684,100,43.757,95,0.043757,17,1,1
0,0.4661241993591421,2.3306209967957106,0.08719478923362933,1.0,5.0,0.5893780322532906,2.946890161266453,0.08501424550123304,1.0,5.0,1.0,5.0,0.5728880302680281,1.1457760605360563,0.02992592609826031,1.0,2.0,1.0,2.0,0.5539195753736402,4.431356602989122,0.09680395599945418,1.0,8.0,100,1,10,5,10,2,100,1,5,5,15,11,1000,45.9,100,41.831,97,0.041831,13,1,1
